0,12.035,30.656,cluster3
1,118.124,30.517,cluster0
2,114.658,29.174,cluster0
3,107.554,27.235,cluster1
4,100.821,26.036,cluster1
5,95.505,25.231,cluster1
6,90.218,24.573,cluster1
7,90.366,2.418,cluster2
8,91.031,24.105,cluster1
9,92.448,24.231,cluster1
10,9.369,2.455,cluster3
11,94.454,24.908,cluster1
12,9.503,25.022,cluster3
13,95.622,25.065,cluster1
14,96.484,25.348,cluster1
15,97.482,25.837,cluster1
16,98.655,26.135,cluster1
17,99.769,26.113,cluster1
18,100.854,26.381,cluster1
19,103.043,27.109,cluster1
20,105.258,27.777,cluster1
21,108.789,28.351,cluster1
22,112.557,28.949,cluster0
23,113.866,29.537,cluster0
24,114.951,29.785,cluster0
25,114.262,29.643,cluster0
26,112.776,29.696,cluster0
27,114.941,30.019,cluster0
28,117.165,30.082,cluster0
29,120.079,29.932,cluster0
30,122.288,3.013,cluster2
31,121.658,30.575,cluster0
32,121.527,30.826,cluster0
33,121.153,30.918,cluster0
34,119.871,3.064,cluster2
35,117.972,30.314,cluster0
36,118.668,30.089,cluster0
37,122.892,29.928,cluster0
38,126.833,31.029,cluster0
39,129.366,32.249,cluster0
40,131.295,32.547,cluster0
41,132.155,32.689,cluster0
42,132.616,32.618,cluster0
43,132.123,32.542,cluster0
44,131.133,32.297,cluster0
45,129.286,31.904,cluster0
46,127.785,32.053,cluster0
47,128.051,32.585,cluster0
48,128.158,32.552,cluster0
49,127.801,31.931,cluster0
50,127.586,3.166,cluster2
51,128.291,31.956,cluster0
52,129.118,32.286,cluster0
53,130.808,3.26,cluster2
54,132.395,32.841,cluster0
55,132.968,32.912,cluster0
56,133.064,33.007,cluster0
57,133.462,33.234,cluster0
58,134.327,33.447,cluster0
59,134.573,33.049,cluster0
60,133.186,3.268,cluster2
61,131.721,32.635,cluster0
62,132.053,32.711,cluster0
63,132.406,32.764,cluster0
64,131.149,32.825,cluster0
65,129.272,32.309,cluster0
66,124.078,31.444,cluster0
67,119.222,30.288,cluster0
68,115.093,2.915,cluster2
69,11.103,28.519,cluster3
70,107.547,28.067,cluster1
71,106.175,27.916,cluster1
72,10.472,27.732,cluster3
73,105.194,27.466,cluster1
74,106.252,27.562,cluster1
75,107.597,28.303,cluster1
76,109.045,28.842,cluster1
77,109.198,28.777,cluster1
78,108.492,28.656,cluster1
79,108.007,28.437,cluster1
80,107.821,28.221,cluster1
